"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1.2","phd","1_des.0","1_des.belief","1_des.conf_1","2_des.0","2_des.belief","2_des.conf_1","3_des.0","3_des.belief","3_des.conf_1","4_des.0","4_des.belief","4_des.conf_1","5_des.0","5_des.belief","5_des.conf_1","6_des.0","6_des.belief","6_des.conf_1","7_des.0","7_des.belief","7_des.conf_1","8_des.0","8_des.belief","8_des.conf_1","9_des.0","9_des.belief","9_des.conf_1","10_des.0","10_des.belief","10_des.conf_1","11_des.0","11_des.belief","11_des.conf_1","12_des.0","12_des.belief","12_des.conf_1","13_des.0","13_des.belief","13_des.conf_1","14_des.0","14_des.belief","14_des.conf_1","15_des.0","15_des.belief","15_des.conf_1","16_des.0","16_des.belief","16_des.conf_1","17_des.0","17_des.belief","17_des.conf_1","18_des.0","18_des.belief","18_des.conf_1","19_des.0","19_des.belief","19_des.conf_1","20_des.0","20_des.belief","20_des.conf_1","21_des.0","21_des.belief","21_des.conf_1","22_des.0","22_des.belief","22_des.conf_1","23_des.0","23_des.belief","23_des.conf_1","24_des.0","24_des.belief","24_des.conf_1","25_des.0","25_des.belief","25_des.conf_1","26_des.0","26_des.belief","26_des.conf_1","27_des.0","27_des.belief","27_des.conf_1","28_des.0","28_des.belief","28_des.conf_1","1_bf.0","1_bf.belief","1_bf.conf_1","2_bf.0","2_bf.belief","2_bf.conf_1","3_bf.0","3_bf.belief","3_bf.conf_1","4_bf.0","4_bf.belief","4_bf.conf_1","5_bf.0","5_bf.belief","5_bf.conf_1","6_bf.0","6_bf.belief","6_bf.conf_1","7_bf.0","7_bf.belief","7_bf.conf_1","8_bf.0","8_bf.belief","8_bf.conf_1","9_bf.0","9_bf.belief","9_bf.conf_1","10_bf.0","10_bf.belief","10_bf.conf_1","11_bf.0","11_bf.belief","11_bf.conf_1","12_bf.0","12_bf.belief","12_bf.conf_1","13_bf.0","13_bf.belief","13_bf.conf_1","14_bf.0","14_bf.belief","14_bf.conf_1","15_bf.0","15_bf.belief","15_bf.conf_1","16_bf.0","16_bf.belief","16_bf.conf_1","17_bf.0","17_bf.belief","17_bf.conf_1","18_bf.0","18_bf.belief","18_bf.conf_1","19_bf.0","19_bf.belief","19_bf.conf_1","20_bf.0","20_bf.belief","20_bf.conf_1","21_bf.0","21_bf.belief","21_bf.conf_1","22_bf.0","22_bf.belief","22_bf.conf_1","23_bf.0","23_bf.belief","23_bf.conf_1","24_bf.0","24_bf.belief","24_bf.conf_1","25_bf.0","25_bf.belief","25_bf.conf_1","26_bf.0","26_bf.belief","26_bf.conf_1","27_bf.0","27_bf.belief","27_bf.conf_1","28_bf.0","28_bf.belief","28_bf.conf_1","psych","knowledge","information","email","Q21","preorder","sequence","TotalScore","MTurkCode","Conditie"
2019-03-26 13:29:04,2019-03-26 13:33:24,0,NA,100,260,1,2019-03-26 13:33:25,NA,NA,NA,NA,NA,NA,NA,"anonymous","EN",1,NA,NA,2,70,NA,1,32,NA,2,50,NA,2,42,NA,2,98,NA,2,36,NA,1,66,NA,2,31,1,1,22,NA,1,63,NA,2,69,NA,2,65,NA,1,42,NA,2,62,NA,1,68,NA,2,73,NA,1,21,NA,2,33,NA,2,80,NA,1,60,NA,2,40,NA,1,63,1,2,27,NA,2,37,NA,2,25,NA,2,74,NA,2,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"|20|23|13|17|19|3|15|24|26|10|21|27|9|16|8|2|14|4|12|25|7|6|5|11|22|18|1","|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}|S{lm://Field/5}",NA,NA,1
2019-03-26 15:37:57,2019-03-26 16:06:27,0,NA,100,1710,1,2019-03-26 16:06:28,NA,NA,NA,NA,NA,NA,NA,"anonymous","EN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,NA,1,40,NA,1,87,NA,1,65,NA,2,92,NA,1,74,NA,1,81,NA,1,88,NA,2,100,NA,1,95,NA,1,50,1,2,99,NA,2,100,NA,2,93,NA,2,97,NA,1,64,NA,2,43,NA,2,89,NA,1,63,NA,2,21,NA,2,90,NA,1,59,NA,1,74,NA,2,81,NA,1,84,NA,1,100,NA,2,93,NA,NA,NA,4,NA,NA,NA,NA,"|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27","|Aviezer2012|Balafoutas2012|Derex2013|Duncan2012|Gervais2012|Gneezy2014|Hauser2014|Bauer2012|Critcher2008|Karpicke2011|Anderson2012|Giessner2007|Risen2008|Shafir1993|Zaval2014|Tversky1978|Kidd2013|Shah2012|Zhong2006|Kovac2012|Lee2010|Morewedge2010|Nishi2015|Pyc2010|Sparrow2011|Wilson2014|Alter2007",NA,NA,2
2019-03-27 16:27:20,2019-03-27 17:21:54,0,NA,100,3273,1,2019-03-27 17:21:54,NA,NA,NA,NA,NA,NA,NA,"anonymous","EN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,69,NA,2,87,NA,2,30,NA,2,62,NA,2,83,NA,1,94,NA,1,76,NA,2,91,NA,2,100,NA,1,78,NA,2,93,NA,2,75,NA,1,83,NA,2,80,NA,2,92,NA,2,87,NA,2,100,NA,2,75,NA,2,87,NA,2,82,NA,2,98,NA,1,50,NA,2,90,NA,1,75,NA,1,73,NA,1,70,NA,2,100,NA,NA,NA,1,NA,NA,NA,NA,"|2|13|26|3|10|7|24|27|1|6|17|9|22|20|5|21|16|14|4|18|12|11|25|8|23|15|19","|Balafoutas2012|Risen2008|Wilson2014|Derex2013|Karpicke2011|Hauser2014|Pyc2010|Alter2007|Aviezer2012|Gneezy2014|Kidd2013|Critcher2008|Morewedge2010|Kovac2012|Gervais2012|Lee2010|Tversky1978|Shafir1993|Duncan2012|Shah2012|Giessner2007|Anderson2012|Sparrow2011|Bauer2012|Nishi2015|Zaval2014|Zhong2006",NA,NA,2
2019-03-27 16:52:05,2019-03-27 17:54:52,0,NA,100,3767,1,2019-03-27 17:54:53,NA,NA,NA,NA,NA,NA,NA,"anonymous","EN",1,NA,NA,1,67,NA,1,100,NA,1,83,NA,2,75,NA,2,80,NA,1,90,NA,1,100,NA,2,80,NA,2,90,NA,1,80,NA,1,51,NA,1,82,NA,1,66,NA,2,50,NA,1,36,NA,1,48,NA,2,78,NA,2,89,NA,2,80,NA,1,100,NA,2,100,NA,2,50,NA,1,50,NA,1,100,NA,2,77,NA,1,50,NA,2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"|6|4|26|19|5|22|27|14|24|3|10|9|1|8|23|25|17|15|18|2|11|21|16|12|7|13|20","|Gneezy2014|Duncan2012|Wilson2014|Zhong2006|Gervais2012|Morewedge2010|Alter2007|Shafir1993|Pyc2010|Derex2013|Karpicke2011|Critcher2008|Aviezer2012|Bauer2012|Nishi2015|Sparrow2011|Kidd2013|Zaval2014|Shah2012|Balafoutas2012|Anderson2012|Lee2010|Tversky1978|Giessner2007|Hauser2014|Risen2008|Kovac2012",NA,NA,1
2019-03-29 17:20:51,2019-03-29 17:20:58,0,NA,100,7,1,2019-03-29 17:20:59,NA,NA,NA,NA,NA,NA,NA,"anonymous","EN",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-27 18:53:26,2019-03-30 10:36:19,0,NA,100,229372,1,2019-03-30 10:36:20,NA,NA,NA,NA,NA,NA,NA,"anonymous","EN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,45,NA,1,41,NA,1,37,NA,1,40,NA,1,42,NA,1,39,NA,1,48,NA,1,38,NA,1,43,NA,1,44,NA,1,39,NA,1,38,NA,1,39,NA,1,48,NA,1,40,NA,1,39,NA,1,50,NA,1,39,NA,1,44,NA,1,46,NA,1,40,NA,1,61,1,1,2,NA,1,38,NA,1,36,NA,1,39,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,"|23|23|21|17|22|2|9|15|13|10|24|4|18|26|25|20|6|16|5|3|12|27|1|8|14|11|19|7","|Nishi2015|Nishi2015|Lee2010|Kidd2013|Morewedge2010|Balafoutas2012|Critcher2008|Zaval2014|Risen2008|Karpicke2011|Pyc2010|Duncan2012|Shah2012|Wilson2014|Sparrow2011|Kovac2012|Gneezy2014|Tversky1978|Gervais2012|Derex2013|Giessner2007|Alter2007|Aviezer2012|Bauer2012|Shafir1993|Anderson2012|Zhong2006|Hauser2014",NA,NA,2
2019-03-31 19:13:44,2019-03-31 20:00:48,0,NA,100,2823,1,2019-03-31 20:00:48,NA,NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2,NA,1,70,NA,2,60,1,2,0,NA,1,60,NA,1,60,1,2,0,NA,1,50,NA,1,60,NA,1,75,1,2,0,NA,2,40,NA,1,60,NA,1,80,NA,1,38,NA,1,45,NA,1,40,NA,1,40,NA,2,50,NA,1,40,NA,1,56,NA,1,55,NA,2,70,NA,1,70,NA,1,80,NA,1,80,NA,1,50,NA,1,60,NA,2,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,"|7|23|4|9|11|19|12|2|28|22|3|8|21|16|20|1|25|24|10|17|26|15|5|13|27|18|6|14","|Hauser2014|Nishi2015|Duncan2012|Critcher2008|Anderson2012|Zhong2006|Giessner2007|Balafoutas2012|Fakers2019|Morewedge2010|Derex2013|Bauer2012|Lee2010|Tversky1978|Kovac2012|Aviezer2012|Sparrow2011|Pyc2010|Karpicke2011|Kidd2013|Wilson2014|Zaval2014|Gervais2012|Risen2008|Alter2007|Shah2012|Gneezy2014|Shafir1993",NA,NA,1
2019-04-02 15:12:14,2019-04-02 15:14:48,0,NA,100,154,1,2019-04-02 15:14:49,NA,NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2,NA,2,56,NA,2,41,NA,1,31,NA,2,47,NA,2,70,NA,1,50,NA,1,51,NA,1,63,NA,2,37,NA,1,75,NA,2,52,NA,1,77,NA,1,29,NA,1,65,NA,2,30,NA,2,62,NA,2,74,NA,1,68,NA,1,71,NA,2,64,NA,1,63,NA,1,68,NA,1,84,NA,1,78,NA,1,61,NA,2,51,NA,1,72,NA,1,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,NA,"5","|26|6|21|22|8|27|24|13|15|14|3|18|9|19|4|28|1|12|16|2|10|5|11|23|17|7|20|25","|Wilson2014|Gneezy2014|Lee2010|Morewedge2010|Bauer2012|Alter2007|Pyc2010|Risen2008|Zaval2014|Shafir1993|Derex2013|Shah2012|Critcher2008|Zhong2006|Duncan2012|Fakers2019|Aviezer2012|Giessner2007|Tversky1978|Balafoutas2012|Karpicke2011|Gervais2012|Anderson2012|Nishi2015|Kidd2013|Hauser2014|Kovac2012|Sparrow2011",15,440840950,1
2019-04-02 15:46:38,2019-04-02 15:53:27,0,NA,100,408,1,2019-04-02 15:53:28,NA,NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,NA,2,59,NA,2,80,NA,1,67,NA,2,58,NA,1,82,NA,1,83,NA,1,80,NA,1,66,NA,1,58,NA,1,80,NA,1,78,NA,1,74,NA,2,42,NA,2,81,NA,1,85,NA,1,52,NA,2,63,NA,2,54,NA,2,59,NA,1,73,NA,2,70,NA,1,75,NA,2,69,NA,2,57,NA,1,81,NA,2,71,NA,2,75,1,5,3,NA,"A30UE6DWFNUCWX","|9|10|6|19|25|28|12|14|15|27|11|23|20|1|4|16|18|3|21|5|24|17|8|26|2|22|13|7","|Critcher2008|Karpicke2011|Gneezy2014|Zhong2006|Sparrow2011|Fakers2019|Giessner2007|Shafir1993|Zaval2014|Alter2007|Anderson2012|Nishi2015|Kovac2012|Aviezer2012|Duncan2012|Tversky1978|Shah2012|Derex2013|Lee2010|Gervais2012|Pyc2010|Kidd2013|Bauer2012|Wilson2014|Balafoutas2012|Morewedge2010|Risen2008|Hauser2014",16,405629069,2
2019-04-02 15:50:51,2019-04-02 16:08:36,0,NA,100,1064,1,2019-04-02 16:08:36,NA,NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2,NA,1,50,NA,1,75,NA,1,100,NA,1,56,NA,2,60,NA,1,100,NA,1,100,NA,2,50,NA,2,75,NA,1,75,NA,1,65,NA,1,90,NA,1,69,NA,1,58,NA,2,75,NA,2,50,NA,2,50,NA,2,65,NA,1,80,NA,1,95,NA,2,75,NA,1,65,NA,2,40,NA,1,90,NA,1,55,NA,1,60,NA,2,65,NA,2,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,NA,"A191V7PT3DQKDP","|2|17|5|19|10|18|24|15|26|25|1|8|9|4|12|28|22|23|27|11|16|20|6|3|14|21|13|7","|Balafoutas2012|Kidd2013|Gervais2012|Zhong2006|Karpicke2011|Shah2012|Pyc2010|Zaval2014|Wilson2014|Sparrow2011|Aviezer2012|Bauer2012|Critcher2008|Duncan2012|Giessner2007|Fakers2019|Morewedge2010|Nishi2015|Alter2007|Anderson2012|Tversky1978|Kovac2012|Gneezy2014|Derex2013|Shafir1993|Lee2010|Risen2008|Hauser2014",21,507767080,1
